Flight_ID,Date,Route,Aircraft_Type,Passengers,Ticket_Price_USD,Delay_Minutes,Weather_Condition,Maintenance_Status,Customer_Satisfaction_Score
FL00001,2025-03-19,DEL-SFO,Boeing 787,149,438.32,36,Clear,Routine,3
FL00002,2025-06-24,JFK-CDG,Boeing 777,262,778.63,9,Clear,Delayed,4
FL00003,2025-12-14,SIN-SYD,Boeing 787,351,1252.93,40,Clear,Routine,1
FL00004,2025-03-14,DEL-SFO,Boeing 787,214,602.23,17,Clear,Routine,1
FL00005,2025-06-18,DXB-LHR,Airbus A350,175,1032.09,8,Storm,Delayed,2
FL00006,2025-02-06,SIN-SYD,Airbus A350,351,763.95,76,Clear,Routine,1
FL00007,2025-03-15,SIN-SYD,Airbus A380,170,542.91,36,Clear,Routine,3
FL00008,2025-02-03,DEL-SFO,Boeing 777,137,892.81,106,Clear,Routine,4
FL00009,2025-09-27,SFO-HND,Boeing 787,266,1246.83,11,Clear,Delayed,5
FL00010,2025-03-23,DXB-LHR,Boeing 777,110,1290.62,26,Clear,Urgent,5
FL00011,2025-01-14,DEL-SFO,Airbus A320,351,1308.15,23,Snow,Routine,3
FL00012,2025-05-19,DXB-LHR,Boeing 787,228,673.2,29,Clear,Routine,3
FL00013,2025-07-25,DXB-LHR,Boeing 777,239,1241.82,0,Rain,Routine,1
FL00014,2025-05-25,SIN-SYD,Airbus A380,212,515.22,8,Clear,Routine,4
FL00015,2025-01-26,JFK-CDG,Airbus A380,130,1173.03,60,Storm,Routine,4
FL00016,2025-09-07,DXB-LHR,Boeing 787,219,1435.48,13,Fog,Urgent,4
FL00017,2025-07-01,BOM-LHR,Airbus A320,350,267.18,80,Clear,Routine,1
FL00018,2025-04-09,SIN-SYD,Airbus A380,245,800.45,6,Clear,Routine,4
FL00019,2025-02-10,SFO-HND,Airbus A380,252,1059.71,149,Clear,Routine,1
FL00020,2025-08-12,JFK-CDG,Airbus A320,96,1127.22,29,Fog,Routine,5
FL00021,2025-05-04,BOM-LHR,Boeing 777,207,470.11,37,Clear,Routine,3
FL00022,2025-07-28,BOM-LHR,Airbus A380,243,1465.23,12,Rain,Delayed,5
FL00023,2025-05-16,SFO-HND,Airbus A350,328,1019.08,59,Rain,Cleared,5
FL00024,2025-04-15,JFK-CDG,Airbus A380,366,455.43,19,Clear,Routine,3
FL00025,2025-11-15,SIN-SYD,Boeing 777,318,275.65,28,Clear,Routine,3
FL00026,2025-02-28,JFK-LHR,Boeing 777,248,1229.08,2,Clear,Delayed,1
FL00027,2025-11-30,JFK-CDG,Boeing 787,273,349.63,24,Storm,Urgent,1
FL00028,2025-12-22,SFO-HND,Airbus A350,312,426.31,52,Clear,Cleared,2
FL00029,2025-03-01,BOM-LHR,Boeing 777,215,968.54,4,Clear,Routine,4
FL00030,2025-12-30,SIN-SYD,Airbus A320,229,1004.38,33,Clear,Routine,4
FL00031,2025-10-05,JFK-CDG,Airbus A350,241,1108.61,0,Clear,Routine,4
